asset,Date,Open,High,Low,Close
AUD,2007-01-01,5672.7,5690.7,5670.1,5670.200195
AUD,2007-01-02,5681.7,5698.2,5643.7,5649.399902
AUD,2007-01-03,5634.3,5635.2,5584.8,5584.799805
AUD,2007-01-04,5580,5612,5565.2,5572
AUD,2007-01-07,5561.1,5562.6,5499,5502
AUD,2007-01-08,5517.7,5590.4,5516.3,5589.700195
AUD,2007-01-09,5583.1,5583.1,5520.9,5520.899902
AUD,2007-01-10,5533.1,5573.4,5528.4,5564.899902
AUD,2007-01-11,5578.2,5638.8,5578.2,5638.799805
AUD,2007-01-14,5642.8,5673.8,5633.2,5673.799805
AUD,2007-01-15,5671.9,5705.4,5665.3,5673.399902
AUD,2007-01-16,5665.5,5670.3,5645.2,5646.100098
AUD,2007-01-17,5655.2,5679.5,5650.9,5672.399902
AUD,2007-01-18,5669.4,5673.1,5641.5,5673.100098
AUD,2007-01-21,5688.5,5739.8,5688.5,5726.600098
AUD,2007-01-22,5723.3,5738.3,5702.7,5735
AUD,2007-01-23,5750,5776.1,5742.2,5768.799805
AUD,2007-01-24,5781.6,5802.1,5769.9,5769.899902
AUD,2007-01-28,5781.6,5802.1,5752.6,5760.399902
AUD,2007-01-29,5756.5,5813,5756.1,5812.5
AUD,2007-01-30,5819.2,5829.3,5773.4,5773.399902
AUD,2007-01-31,5781.3,5816.2,5781.3,5814.100098
AUD,2007-02-01,5828.5,5841.3,5816.8,5831.5
AUD,2007-02-04,5827.7,5829.5,5801.4,5822.100098
AUD,2007-02-05,5828.6,5871.5,5828.6,5870.5
AUD,2007-02-06,5901.9,5909.9,5879.7,5899.799805
AUD,2007-02-07,5902.3,5909.4,5884.6,5899.5
AUD,2007-02-08,5905.6,5927.2,5894.7,5927.200195
AUD,2007-02-11,5921.6,5934.7,5905.4,5924.100098
AUD,2007-02-12,5921.6,5947.3,5911.3,5936.600098
AUD,2007-02-13,5947.8,5975.9,5947.8,5960.5
AUD,2007-02-14,5969.6,6e3,5968.6,5992.799805
AUD,2007-02-15,5993.2,5994.4,5940.4,5953.700195
AUD,2007-02-18,5956.9,6003.2,5950.5,5990.100098
AUD,2007-02-19,5995.2,6003.3,5979.9,5989.700195
AUD,2007-02-20,5981.5,5991.8,5951,5951.799805
AUD,2007-02-21,5953.4,6017.1,5952.6,6017.100098
AUD,2007-02-22,6019.6,6052.1,6019.1,6036.100098
AUD,2007-02-25,6036.5,6044,6008,6044
AUD,2007-02-26,6043.3,6043.3,5993.8,5993.799805
AUD,2007-02-27,5992.6,5992.6,5786.8,5832.5
