Date,Asset,y_hat
2008-12-26,AUD,NaN
2009-01-02,AUD,4.338649876676169e-4
2009-01-09,AUD,-0.009915366144318654
2009-01-16,AUD,-1.8545850811287371e-4
2009-01-23,AUD,0.029983778864997285
2009-01-30,AUD,0.05244141597659451
2009-02-06,AUD,-0.025844476888225887
2009-02-13,AUD,0.05943690260431142
2009-02-20,AUD,0.013909507563121511
2009-02-27,AUD,-6.996565125968324e-4
2009-03-06,AUD,0.04879339208428442
2009-03-13,AUD,0.005051219193238331
2009-03-20,AUD,0.013396752130731382
2009-03-27,AUD,0.005339762224512086
2009-04-03,AUD,-0.006494990892491141
2009-04-10,AUD,-0.021249430286589738
2009-04-17,AUD,-0.013084332683246819
2009-04-24,AUD,-0.02649428288328743
2009-05-01,AUD,0.008637471011710399
2009-05-08,AUD,0.04345426999398126
2009-05-15,AUD,-0.007757309691055734
2009-05-22,AUD,-0.015398948393543804
2009-05-29,AUD,-0.03620431647634676
2009-06-05,AUD,-0.019029848660443154
2009-06-12,AUD,-0.022028575024405944
2009-06-19,AUD,0.018415619366977654
2009-06-26,AUD,0.023899267890147343
2009-07-03,AUD,-0.00875417991482258
2009-07-10,AUD,0.006265219183115992
2009-07-17,AUD,-0.008114790566727117
2009-07-24,AUD,-0.004398049919172143
2009-07-31,AUD,0.003284768642257318
2009-08-07,AUD,-0.024271911550319977
2009-08-14,AUD,-0.0065584046588752
2009-08-21,AUD,-0.00224233172954409
2009-08-28,AUD,-0.012042529150729191
2009-09-04,AUD,-0.006545744211549543
2009-09-11,AUD,-0.004756517720482728
2009-09-18,AUD,0.0013281077489978766
2009-09-25,AUD,-0.021978693618008832
2009-10-02,AUD,-0.007582391580395246
2009-10-09,AUD,0.026899396123974677
2009-10-16,AUD,0.002784575121581566
2009-10-23,AUD,0.018740555521445455
2009-10-30,AUD,-0.015759331634006023
2009-11-06,AUD,0.031893203172735134
2009-11-13,AUD,-0.0014894240373506233
2009-11-20,AUD,-0.03137223050221863
2009-11-27,AUD,-0.007974587352978032
2009-12-04,AUD,-0.018728961788585387
2009-12-11,AUD,-0.011401173959619473
2009-12-18,AUD,0.009386059072295675
2009-12-25,AUD,-0.006506677123833193
2010-01-01,AUD,-0.01946309432687471
2010-01-08,AUD,-0.0040212507421981784
2010-01-15,AUD,0.013559516880168772
2010-01-22,AUD,-0.03390290656755153
2010-01-29,AUD,-1.2154256539661373e-5
2010-02-05,AUD,-0.0105837995851162
2010-02-12,AUD,-0.014454597939556297
2010-02-19,AUD,-0.03835445977772811
2010-02-26,AUD,0.012981716076081685
2010-03-05,AUD,0.010684087946242218
2010-03-12,AUD,-0.008619876869793191
2010-03-19,AUD,0.01346726581939382
2010-03-26,AUD,0.010303637069397398
2010-04-02,AUD,-5.296324098803153e-4
2010-04-09,AUD,0.008661212809914252
2010-04-16,AUD,0.003028912010782317
2010-04-23,AUD,-1.6788930794389787e-4
2010-04-30,AUD,0.013072586688358763
2010-05-07,AUD,0.008263197353573731
2010-05-14,AUD,-0.004124849835211669
2010-05-21,AUD,0.005396129132426298
2010-05-28,AUD,0.020363297975530784
2010-06-04,AUD,-0.002722898204157759
2010-06-11,AUD,0.008118017369992589
2010-06-18,AUD,5.314112656998579e-4
2010-06-25,AUD,-0.017740651700663124
2010-07-02,AUD,0.0034187927512145293
2010-07-09,AUD,-0.008721563156885166
2010-07-16,AUD,0.01379540828378901
2010-07-23,AUD,-0.002339015534283663
2010-07-30,AUD,-0.012477538727093986
2010-08-06,AUD,0.001985843863469499
2010-08-13,AUD,-0.012980580683609348
2010-08-20,AUD,-0.02025970535736097
2010-08-27,AUD,0.022621413650095037
2010-09-03,AUD,-0.004358765730461498
2010-09-10,AUD,0.03063318994146899
2010-09-17,AUD,-0.003977645353652
2010-09-24,AUD,-0.024414845905020865
2010-10-01,AUD,0.012840293864982366
2010-10-08,AUD,-0.05133257945019733
2010-10-15,AUD,0.03850057485023103
2010-10-22,AUD,-0.02652681761392975
2010-10-29,AUD,0.018676259636610647
2010-11-05,AUD,0.030910190432928145
2010-11-12,AUD,0.02339182135651464
2010-11-19,AUD,0.026105239996516715
2010-11-26,AUD,-0.042534171056570924
2010-12-03,AUD,-0.011281232816983407
2010-12-10,AUD,0.03206698819021335
2010-12-17,AUD,-0.03497975736820145
2010-12-24,AUD,0.0019184634209108468
2010-12-31,AUD,-0.02377963949271898
2011-01-07,AUD,-0.009898356014541481
2011-01-14,AUD,0.01744701777282428
2011-01-21,AUD,0.008968958941659912
2011-01-28,AUD,0.0023221846401541854
2011-02-04,AUD,-0.01657775388396688
2011-02-11,AUD,-0.011405548141109558
2011-02-18,AUD,0.013180322887069652
2011-02-25,AUD,-0.009116225038728207
2011-03-04,AUD,-0.0048611499850503646
2011-03-11,AUD,-0.013775035309740322
2011-03-18,AUD,0.010642065761386743
2011-03-25,AUD,-0.03215161358850009
2011-04-01,AUD,0.0012302828247481856
2011-04-08,AUD,0.028833581573133607
2011-04-15,AUD,0.00863904559319588
2011-04-22,AUD,-2.1929714698702566e-4
2011-04-29,AUD,0.006317457163937305
2011-05-06,AUD,-0.014659223388671146
2011-05-13,AUD,-0.013870368960360195
2011-05-20,AUD,0.011186497382798926
2011-05-27,AUD,-0.020949594665289777
2011-06-03,AUD,0.0023412366134906186
2011-06-10,AUD,0.034355986201717446
2011-06-17,AUD,0.017505496788333196
2011-06-24,AUD,-0.022656805848956893
2011-07-01,AUD,-0.0054526098798861064
2011-07-08,AUD,-8.76491215807294e-5
2011-07-15,AUD,-0.02949318818533861
2011-07-22,AUD,-0.020485411203301218
2011-07-29,AUD,-0.015905685117709005
2011-08-05,AUD,0.010073310275634883
2011-08-12,AUD,-0.02195560055412041
2011-08-19,AUD,-0.04134152078924105
2011-08-26,AUD,0.010241937877717232
2011-09-02,AUD,0.06123929935489468
2011-09-09,AUD,-0.021305530051006324
2011-09-16,AUD,0.028810648306682056
2011-09-23,AUD,-0.007152834959294193
2011-09-30,AUD,0.007684482333125812
2011-10-07,AUD,-0.003120215360994615
2011-10-14,AUD,-0.05043894345557163
2011-10-21,AUD,-0.007736822343823752
2011-10-28,AUD,0.0016666359387200493
2011-11-04,AUD,-0.022757279501789754
2011-11-11,AUD,8.783085219136863e-4
2011-11-18,AUD,0.011424189537846612
2011-11-25,AUD,-0.020137707971864663
2011-12-02,AUD,-0.03626429342600576
2011-12-09,AUD,0.007024610796670924
2011-12-16,AUD,0.014400022871691315
2011-12-23,AUD,0.011793234766151295
2011-12-30,AUD,0.0063501794309819195
2012-01-06,AUD,-0.03420043015803776
2012-01-13,AUD,0.0010381573696772186
2012-01-20,AUD,-0.007255207555328698
2012-01-27,AUD,0.024947145198992084
2012-02-03,AUD,-9.248366058012855e-4
2012-02-10,AUD,-0.0038429225744896637
2012-02-17,AUD,0.010338922473057073
2012-02-24,AUD,-0.009720041900591517
2012-03-02,AUD,0.00543324288428056
2012-03-09,AUD,0.0031459553673257035
2012-03-16,AUD,-1.8880329193616922e-4
2012-03-23,AUD,-0.012672019329213389
2012-03-30,AUD,-0.020125475425166905
2012-04-06,AUD,0.011328340986100067
2012-04-13,AUD,0.007455062502540855
2012-04-20,AUD,0.002628957002504134
2012-04-27,AUD,0.017257232057162678
2012-05-04,AUD,0.010080434409999374
2012-05-11,AUD,-0.011799938352595194
2012-05-18,AUD,1.3953307834278957e-4
2012-05-25,AUD,0.028308493120444
2012-06-01,AUD,0.021049130287479335
2012-06-08,AUD,0.020475342759728794
2012-06-15,AUD,0.012463201978806362
2012-06-22,AUD,0.026741884029553936
2012-06-29,AUD,0.008839104296965621
2012-07-06,AUD,-0.029211816937372508
2012-07-13,AUD,0.006367723273542297
2012-07-20,AUD,0.013597587957072896
2012-07-27,AUD,0.008936785335976685
2012-08-03,AUD,0.006755633746796018
2012-08-10,AUD,-0.02060225317156605
2012-08-17,AUD,-0.003847951367986674
2012-08-24,AUD,0.03056630071451124
2012-08-31,AUD,-0.004618600746360004
2012-09-07,AUD,0.014144857780617907
2012-09-14,AUD,-0.018575902510580375
2012-09-21,AUD,0.020168222758910455
2012-09-28,AUD,0.019180541518748997
2012-10-05,AUD,-0.003060458875775058
2012-10-12,AUD,-0.00958465954445183
2012-10-19,AUD,-1.5248463717802523e-4
2012-10-26,AUD,0.01152027672916411
2012-11-02,AUD,-0.0010421489597196298
2012-11-09,AUD,-0.03071324798696449
2012-11-16,AUD,0.004100847115099466
2012-11-23,AUD,-0.008771364918457876
2012-11-30,AUD,-0.002194199813939944
2012-12-07,AUD,0.0021134660615845023
2012-12-14,AUD,0.016192606730512968
2012-12-21,AUD,-0.01197136707258839
2012-12-28,AUD,-0.006813710086906152
2013-01-04,AUD,0.002320158503899149
2013-01-11,AUD,-0.03657824893769601
2013-01-18,AUD,0.05404374414677332
2013-01-25,AUD,-8.513130590166174e-4
2013-02-01,AUD,0.02790552960364809
2013-02-08,AUD,0.01861339209225677
2013-02-15,AUD,-0.004593641833528225
2013-02-22,AUD,-0.022061618028845036
2013-03-01,AUD,-0.0015697442419753578
2013-03-08,AUD,0.03389519389142337
2013-03-15,AUD,0.013230021680357987
2013-03-22,AUD,0.008750090381173643
2013-03-29,AUD,0.007999411597588426
2013-04-05,AUD,0.005785667943264315
2013-04-12,AUD,-0.00982803379443135
2013-04-19,AUD,0.023485703600177505
2013-04-26,AUD,-0.0040453183148664185
2013-05-03,AUD,0.007768918671171978
2013-05-10,AUD,-0.019413576374695533
2013-05-17,AUD,0.0019095060454267922
2013-05-24,AUD,0.00938921590170435
2013-05-31,AUD,0.019741709972281633
2013-06-07,AUD,-0.009456484526113286
2013-06-14,AUD,-0.005500678226972107
2013-06-21,AUD,0.010223748942095639
2013-06-28,AUD,0.008326252929450707
2013-07-05,AUD,-0.008348735183076123
2013-07-12,AUD,-0.002907805653256529
2013-07-19,AUD,-0.003852484934083797
2013-07-26,AUD,-0.006407688965154836
2013-08-02,AUD,-0.010126285295741774
2013-08-09,AUD,-0.026642856386517207
2013-08-16,AUD,0.006488840580192232
2013-08-23,AUD,0.0016663568585986617
2013-08-30,AUD,0.006271666512928976
2013-09-06,AUD,-0.013565018842178478
2013-09-13,AUD,-0.017782570618405866
2013-09-20,AUD,0.00415010097140487
2013-09-27,AUD,-0.008683820931696498
2013-10-04,AUD,-0.021900210263648863
2013-10-11,AUD,-0.004038179561721695
2013-10-18,AUD,0.03313602134527926
2013-10-25,AUD,-0.013166152899019842
2013-11-01,AUD,0.0018769570355568759
2013-11-08,AUD,-0.03769382509556832
2013-11-15,AUD,-0.021727896308484058
2013-11-22,AUD,-8.408585681607943e-4
2013-11-29,AUD,-0.031613907962412445
2013-12-06,AUD,-0.00759254279169933
2013-12-13,AUD,0.03825774513868405
2013-12-20,AUD,-0.012249341139171328
2013-12-27,AUD,-0.005416261101769927
2014-01-03,AUD,-0.0320856518048197
2014-01-10,AUD,0.005073857801926183
2014-01-17,AUD,-0.02644390743072193
2014-01-24,AUD,-0.007840452212632567
2014-01-31,AUD,0.019048385441942307
2014-02-07,AUD,-0.026171299621678076
2014-02-14,AUD,-0.009549836813560976
